Age,Gender,Region,District,Language Spoken by Student,Math Term 1,Physics Term 1,Chemistry Term 1,Math Term 2,Physics Term 2,Chemistry Term 2,Math Term 3,Physics Term 3,Chemistry Term 3,Attendance
15,Male,Eastern,Gulu,Lusoga,49,89,97,93,62,100,40,71,40,0.9
15,Female,Eastern,Wakiso,Runyoro,92,100,36,52,75,66,81,45,100,0.93
17,Male,Northern,Kampala,Rutooro,51,56,38,27,63,52,76,47,29,0.79
17,Female,Northern,Kampala,Runyankole,63,51,100,63,58,77,100,40,50,0.86
15,Male,Northern,Wakiso,Lusoga,58,100,75,40,91,78,73,97,42,0.79
15,Female,Eastern,Mbale,Lumasaba,68,100,34,56,100,66,52,73,60,0.95
15,Female,Northern,Mbarara,Luganda,73,15,69,42,37,63,92,17,70,0.76
15,Female,Northern,Lira,Acholi,58,62,71,44,72,59,100,27,39,0.81
15,Female,Eastern,Mbale,Lumasaba,60,86,28,36,68,80,100,81,42,0.93
17,Male,Eastern,Gulu,Lusoga,83,100,48,63,76,100,51,78,100,0.91
17,Male,Eastern,Mbale,Acholi,79,100,42,74,82,68,51,50,55,0.9
15,Male,Eastern,Gulu,Acholi,94,99,74,85,66,100,76,62,94,0.79
15,Female,Western,Kampala,Lumasaba,72,53,100,73,68,100,100,61,64,0.88
15,Male,Western,Busia,Lusoga,50,100,26,42,89,63,59,89,30,0.92
17,Female,Northern,Mukono,Rukiga,87,100,68,99,80,100,52,31,81,0.81
15,Female,Western,Tororo,Luganda,99,91,41,61,75,48,29,41,92,0.89
15,Female,Eastern,Kampala,Acholi,75,100,100,78,55,80,72,85,62,0.83
17,Male,Eastern,Mbale,Rukiga,92,100,100,85,29,100,76,71,61,0.82
17,Male,Eastern,Mbarara,Luganda,65,65,80,75,64,100,73,23,80,0.87
17,Female,Western,Gulu,Japadhola,64,60,75,73,96,80,47,46,100,0.87
17,Male,Eastern,Mbale,Runyankole,90,91,100,85,50,93,42,70,76,0.87
17,Male,Central,Bushenyi,Runyankole,82,82,58,56,65,74,66,50,100,0.89
17,Male,Norternh,Rukungiri,Runyankole,87,100,65,46,83,93,44,64,76,0.82
16,Male,Western,Lira,Runyankole,97,78,100,91,61,93,87,62,100,0.79
15,Female,Western,Kasese,Runyankole,77,92,75,66,51,74,46,65,50,0.95
15,Female,Western,Mbarara,Runyankole,57,54,87,73,71,95,93,45,94,0.89
17,Male,Northern,Lira,Rukiga,100,100,81,63,43,80,64,61,41,0.87
17,Female,Central,Lira,Luganda,100,100,41,37,68,100,80,53,98,0.92
17,Female,Central,Kabale,Luganda,63,100,90,47,60,90,85,97,59,0.84
16,Male,Central,Mbale,Acholi,100,100,45,85,46,100,100,98,74,0.95
15,Male,Central,Kapchorwa,Runyankole,82,84,100,56,77,100,87,63,98,0.89
15,Female,Central,Kitgum,Rutooro,99,48,98,62,45,66,91,94,89,0.89
17,Female,Central,Mbale,Luganda,65,89,76,80,67,87,75,99,70,0.91
15,Female,Eastern,Jinja,Lumasaaba,99,100,91,81,43,96,76,98,100,0.86
15,Male,Northern,Iganga,Iteso,76,74,35,61,88,82,50,37,90,0.9
17,Female,Central,Mbale,Luganda,80,100,70,71,80,100,78,92,93,0.88
17,Female,Central,Kabarole,Acholi,30,100,68,53,84,55,59,100,29,0.92
16,Female,Eastern,Gulu,Runyankole,92,49,98,54,49,100,24,17,100,0.87
15,Male,Northern,Wakiso,Acholi,74,93,92,55,78,85,47,51,100,0.8
15,Female,Central,Kampala,Luganda,100,100,27,72,92,62,63,81,87,0.86
17,Female,Northern,Kasese,Luganda,48,80,28,69,90,76,55,94,68,0.94
17,Male,Northern,Mukono,Runyankole,90,100,68,71,69,97,70,48,67,0.85
17,Female,Northern,Busia,Runyankole,42,57,46,55,52,100,59,37,50,0.99
15,Female,Northern,Mukono,Sebei,95,58,35,57,52,90,74,24,100,0.81
15,Male,Eastern,Kapchorwa,Luganda,91,82,75,56,63,100,78,49,100,0.93
15,Female,Northern,Mbale,Luganda,54,63,44,48,83,61,81,85,37,0.99
16,Female,Central,Masaka,Rutooro,25,98,87,35,73,74,30,67,54,0.76
15,Male,Eastern,Gulu,Acholi,71,100,86,82,87,93,65,80,89,0.91
17,Male,Eastern,Gulu,Lango,73,94,76,47,54,81,46,71,45,0.94
16,Male,Northern,Soroti,Luganda,71,100,63,52,84,95,85,90,68,0.83
16,Male,Northern,Mbale,Rukiga,100,56,85,93,47,67,69,74,80,0.91
15,Female,Eastern,Lira,Acholi,74,51,73,74,59,80,50,65,60,0.94
15,Female,Northern,Masaka,Teso,60,99,46,41,80,72,80,100,46,0.78
15,Female,Northern,Kasese,Luganda,67,67,90,26,52,76,69,57,93,0.88
17,Female,Central,Mbale,Lugbara,87,84,49,80,62,95,100,51,75,0.99
16,Female,Eastern,Kitgum,Luganda,69,32,62,74,77,83,66,29,96,0.76
15,Female,Central,Amuru,Luganda,100,74,73,78,37,100,78,51,89,0.91
16,Female,Northern,Kitgum,Runyankole,99,65,59,65,50,98,71,64,74,0.96
16,Female,Eastern,Mbale,Ateso,61,100,95,69,65,100,46,88,65,0.96
15,Male,Central,Mbarara,Luganda,72,55,70,43,66,66,55,69,55,0.92
15,Female,Eastern,Bushenyi,Rukiga,69,100,26,47,62,88,86,85,73,0.88
15,Female,Northern,Kitgum,Luganda,84,94,63,89,75,91,49,70,75,0.76
16,Male,Eastern,Gulu,Runyankole,99,99,30,55,64,100,70,59,78,0.99
15,Female,Western,Kitgum,Luganda,77,100,85,59,60,100,72,66,100,0.8
16,Male,Northern,Kasese,Alur,100,83,77,100,37,100,86,58,50,0.89
15,Female,Eastern,Jinja,Lumasaba,66,98,100,73,68,100,60,73,67,0.87
15,Male,Central,Mukono,Runyankole,80,69,75,53,74,91,33,49,100,0.88
16,Female,Eastern,Kabarole,Iteso,68,73,85,79,65,87,55,41,65,0.96
17,Female,Central,Lira,Acholi,67,100,66,75,92,96,32,84,93,0.76
15,Female,Central,Mbale,Runyankole,19,69,97,35,76,72,36,75,80,0.93
17,Female,Western,Kampala,Rukiga,96,100,80,63,77,91,57,27,59,0.9
17,Female,Northern,Kasese,Luganda,97,78,81,83,96,100,68,17,86,0.82
15,Male,Northern,Kampala,Luganda,32,100,100,62,60,100,80,90,47,0.82
17,Female,Northern,Mpigi,Luganda,38,100,59,67,68,100,67,100,58,0.95
16,Male,Northern,Soroti,Rukiga,100,100,58,75,52,100,77,39,85,0.78
16,Male,Central,Mbarara,Luganda,75,56,90,85,73,67,62,19,41,0.9
16,Female,Central,Wakiso,Runyoro,75,98,58,40,70,100,60,17,100,0.83
16,Male,Northern,Kabarole,Rutooro,85,95,55,76,79,76,59,47,45,0.91
15,Female,Central,Soroti,Runyankole,62,100,81,67,61,100,52,77,95,0.87
16,Male,Eastern,Wakiso,Acholi,74,100,84,74,77,89,55,92,96,0.92
17,Female,Eastern,Kampala,Runyankole,90,34,71,63,45,96,64,17,98,0.88
16,Female,Central,Entebbe,Lugbara,74,100,63,46,60,96,100,80,18,0.97
16,Male,Central,Ntungamo,Acholi,100,95,89,50,64,100,91,65,99,0.79
15,Male,Western,Kabale,Acholi,68,100,82,70,84,65,49,81,63,0.76
15,Male,Central,Jinja,Iteso,80,61,86,53,60,58,86,53,96,0.83
17,Female,Northern,Kasese,Lugbara,91,69,96,92,48,100,69,28,89,0.85
15,Female,Eastern,Jinja,Rutooro,68,41,40,67,72,74,74,59,91,0.81
17,Female,Eastern,Mbarara,Runyankole,84,22,90,64,47,100,86,24,99,0.96
16,Male,Central,Mbale,Luganda,91,86,89,70,55,100,88,83,50,0.99
15,Female,Northern,Mpigi,Lumasaaba,59,100,76,47,90,88,55,100,90,0.87
17,Male,Northern,Tororo,Lusoga,75,88,83,71,55,100,73,51,99,0.87
15,Female,Northern,Kampala,Teso,100,100,60,56,51,41,100,100,26,0.86
15,Female,Northern,Jinja,Luganda,70,76,96,68,60,100,88,52,46,0.83
15,Female,Western,Kampala,Rukiga,89,68,40,81,58,100,69,85,81,0.99
15,Male,Northern,Amuru,Runyankole,83,100,54,59,73,97,62,74,89,0.95
17,Female,Northern,Soroti,Runyankole,100,100,86,37,42,84,100,43,42,0.82
15,Female,Central,Mbale,Runyoro,57,100,85,46,84,86,100,81,54,0.97
15,Male,Northern,Entebbe,Lusoga,60,94,83,61,56,96,82,43,50,0.92
16,Female,Central,Masaka,Luo,92,91,68,89,57,87,72,70,66,0.93
16,Male,Western,Mbarara,Japadhola,60,81,40,48,57,79,92,91,61,0.99
16,Male,Central,Lira,Rukiga,73,100,55,76,88,87,72,82,92,0.98
16,Female,Western,Apac,Luganda,79,100,82,29,67,86,70,95,100,0.8
17,Female,Eastern,Kasese,Luganda,100,100,89,87,49,72,97,77,25,0.92
16,Female,Northern,Entebbe,Luganda,48,44,63,48,68,46,85,77,82,0.98
17,Female,Western,Mpigi,Lusoga,46,32,96,50,77,100,87,59,100,0.9
15,Female,Eastern,Pallisa,Luganda,82,68,56,52,66,52,76,63,39,0.81
15,Male,Northern,Pader,Lugisu,58,100,73,40,94,32,99,100,77,0.93
17,Female,Eastern,Kampala,Acholi,68,100,87,34,90,90,82,83,89,0.8
16,Female,Eastern,Mbale,Luganda,48,100,50,68,100,85,83,100,67,0.87
17,Male,Eastern,Kisoro,Acholi,75,100,62,58,95,94,27,41,94,0.76
16,Female,Western,Soroti,Langi,53,66,100,72,51,100,70,62,74,0.88
15,Female,Central,Mbale,Japadhola,56,67,44,56,88,67,50,43,58,0.86
15,Male,Western,Kitgum,Luganda,78,64,93,72,43,100,47,44,71,0.87
15,Female,Central,Lira,Runyankole,49,40,68,71,54,84,66,49,63,0.76
15,Female,Central,Rukungiri,Langi,62,87,84,54,86,100,75,64,100,0.93
17,Male,Eastern,Mbarara,Luganda,69,98,60,79,89,68,82,69,71,0.86
16,Male,Central,Gulu,Runyankole,79,74,69,71,33,100,75,73,61,0.99
16,Male,Northern,Mbale,Runyankole,98,81,97,94,65,97,90,62,83,0.83
16,Female,Northern,Kitgum,Luganda,90,100,95,85,79,77,52,69,99,0.85
17,Male,Eastern,Kabarole,Luganda,66,78,73,52,58,76,81,21,33,0.88
15,Male,Northern,Kapchorwa,Teso,94,98,89,79,75,100,96,52,91,0.85
15,Female,Northern,Mbale,Teso,100,86,100,61,45,100,94,58,67,0.82
17,Female,Western,Lira,Runyankole,57,66,63,40,81,85,77,69,39,0.92
16,Female,Central,Lira,Ateso,46,82,89,69,51,100,48,70,82,0.93
15,Female,Eastern,Soroti,Ateso,67,84,100,71,49,79,96,89,87,0.76
15,Female,Central,Lira,Luganda,93,78,43,87,91,100,61,66,100,0.96
17,Female,Central,Arua,Luo,59,100,54,63,63,76,51,71,31,0.94
17,Female,Western,Mbale,Runyankole,72,100,62,37,100,35,26,84,97,0.87
17,Male,Northern,Kampala,Luganda,67,93,54,59,48,80,92,42,34,0.89
16,Female,Northern,Jinja,Acholi,67,47,36,65,65,98,68,54,79,0.92
16,Female,Western,Mbarara,Acholi,100,100,60,57,63,100,63,71,100,0.76
17,Male,Eastern,Entebbe,Luganda,88,92,76,81,60,100,96,48,35,0.9
15,Female,Eastern,Wakiso,Acholi,100,100,57,77,58,100,86,40,100,0.76
16,Female,Central,Lira,Luo,56,85,86,44,62,86,73,37,29,0.93
17,Male,Central,Kampala,Langi,85,82,94,72,61,78,100,57,54,0.97
17,Female,Eastern,Amuru,Luganda,100,100,58,67,57,100,100,47,100,0.89
17,Male,Northern,Mbale,Langi,85,100,100,91,27,80,72,76,50,0.82
17,Female,Central,Kitgum,Luganda,71,60,67,53,75,100,98,29,62,0.9
17,Male,Eastern,Kampala,Luganda,94,91,61,56,50,100,46,24,99,0.9
15,Male,Eastern,Mbale,Rukiga,76,100,87,90,55,79,85,100,15,0.99
15,Male,Western,Busia,Luganda,71,100,38,48,100,67,77,100,52,0.95
15,Male,Eastern,Mbale,Luganda,58,73,87,34,46,75,47,68,38,0.8
16,Male,Eastern,Mukono,Luganda,73,100,65,68,87,100,45,30,86,0.76
15,Female,Central,Mbarara,Lumasaaba,83,100,64,77,51,80,92,93,100,0.94
16,Male,Northern,Mbale,Rutooro,89,100,52,86,77,91,65,94,50,0.99
15,Female,Central,Kitgum,Luganda,29,74,44,87,65,67,35,74,64,0.76
15,Female,Central,Kitgum,Acholi,48,95,63,47,100,89,56,42,52,0.83
15,Male,Northern,Lira,Runyankole,66,98,69,67,60,68,93,98,82,0.92
15,Male,Northern,Kitgum,Lango,62,20,84,73,54,100,93,47,59,0.99
16,Male,Northern,Lira,Lumasaaba,87,84,80,31,94,92,81,37,92,0.84
17,Male,Northern,Soroti,Alur,48,94,47,41,77,72,65,79,91,0.94
16,Male,Northern,Bushenyi,Rukiga,74,31,98,83,72,98,50,46,100,0.83
17,Male,Eastern,Wakiso,Acholi,75,95,62,58,84,74,79,94,92,0.88
15,Female,Northern,Kasese,Lugbara,100,100,70,49,58,66,72,80,59,0.95
15,Female,Northern,Kisoro,Rukiga,34,41,100,52,79,44,76,99,68,0.89
17,Male,Eastern,Gulu,Luganda,65,100,26,67,80,100,62,62,100,0.76
15,Male,Northern,Kitgum,Lusoga,91,100,100,67,64,100,84,80,78,0.8
17,Female,Eastern,Mpigi,Luganda,53,68,86,73,89,100,77,44,100,0.76
16,Female,Eastern,Mpigi,Luganda,56,79,100,69,15,100,41,76,91,0.76
16,Female,Eastern,Kasese,Luganda,70,83,100,100,49,100,80,68,97,0.89
16,Female,Western,Jinja,Lumasaba,71,62,80,54,74,87,75,53,72,0.87
15,Female,Eastern,Mbarara,Acholi,87,87,39,58,76,100,63,90,82,0.88
16,Female,Eastern,Mbarara,Luganda,98,100,73,68,52,77,78,97,78,0.76
16,Male,Central,Gulu,Runyankole,78,94,53,50,60,100,51,41,76,0.89
16,Female,Northern,Kitgum,Lango,90,100,50,76,87,71,87,68,85,0.91
15,Male,Northern,Arua,Luganda,100,100,50,87,31,91,88,51,65,0.96
15,Male,Eastern,Kapchorwa,Rukiga,99,100,35,72,82,61,92,87,66,0.9
15,Female,Eastern,Lira,Luganda,82,100,81,78,80,94,100,83,78,0.89
16,Female,Central,Mbarara,Acholi,79,88,100,74,45,100,72,84,88,0.82
15,Female,Western,Lira,Luganda,37,98,92,65,65,73,38,46,67,0.76
